Freq.	V(n003)
2.23872113856832e+07	-1.27389380643919e-08,7.12886940093404e-07
2.51188643150956e+07	-8.03779250503601e-09,5.04701875285420e-07
2.81838293126443e+07	-5.07153727899949e-09,3.57310883707991e-07
3.16227766016835e+07	-3.19994026551462e-09,2.52961974141998e-07
3.54813389233572e+07	-2.01903411786099e-09,1.79086310044135e-07
3.98107170553494e+07	-1.27392856799929e-09,1.26785055367026e-07
4.46683592150959e+07	-8.03796672553637e-10,8.97578773428830e-08
5.01187233627268e+07	-5.07162459608978e-10,6.35442349107971e-08
5.62341325190344e+07	-3.19998402772546e-10,4.49861679110956e-08
6.30957344480188e+07	-2.01905605092235e-10,3.18479336412940e-08
7.07945784384132e+07	-1.27393956056962e-10,2.25467035499886e-08
7.94328234724274e+07	-8.03802181889552e-11,1.59618961330368e-08
8.91250938133737e+07	-5.07165220817803e-11,1.13001865465690e-08
1.00000000000000e+08	-3.19999786655147e-11,7.99993599970133e-09
